time,autokite_coords,semikite_coords,diff_x,diff_y
20250829_093610,"(928, 411)","(1687, 1181)",759,770
20250829_094530,"(515, 1688)","(1635, 1146)",1120,542
20250829_094650,"(1072, 1356)","(1657, 1161)",585,195
20250829_094950,"(1782, 1023)","(1781, 992)",1,31
20250829_100230,"(1718, 1163)","(1643, 1084)",75,79
20250829_102620,"(327, 1504)","(1722, 1005)",1395,499
20250829_102800,"(852, 1798)","(1737, 1054)",885,744
20250829_103730,"(1777, 1022)","(1769, 990)",8,32
20250829_103750,"(1212, 888)","(1700, 1111)",488,223
20250829_104130,"(228, 1416)","(1836, 992)",1608,424
20250829_105300,"(767, 1787)","(1823, 1096)",1056,691
20250829_105310,"(1085, 732)","(1838, 1099)",753,367
20250829_105320,"(1085, 732)","(1831, 1104)",746,372
20250829_105330,"(158, 1281)","(1841, 1101)",1683,180
20250829_105340,"(1084, 731)","(1828, 1079)",744,348
20250829_105350,"(1084, 731)","(1831, 1049)",747,318
20250829_110610,"(1729, 1199)","(1722, 1168)",7,31
20250829_111030,"(847, 512)","(1841, 977)",994,465
20250829_111040,"(780, 466)","(1851, 982)",1071,516
20250829_111050,"(297, 1485)","(1838, 965)",1541,520
20250829_111100,"(819, 544)","(1868, 963)",1049,419
20250829_111110,"(1061, 725)","(1826, 997)",765,272
20250829_111150,"(1333, 522)","(1789, 1250)",456,728
20250829_111200,"(1111, 390)","(1794, 1312)",683,922
